epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,693.238,0.58521,0.88554,0.58884,0.94711,0,0.49701,0.62084,0.58094,0.49646,0.49701,0.62084,0.58094,0.47289,0.78407,1.40764,1.93777,1.11648,0,0.000408647,0.000408647,0.000408647
73,702.36,0.56483,0.92348,0.55382,0.94411,0,0.48078,0.69198,0.58435,0.50148,0.48078,0.69198,0.58368,0.4887,0.8306,1.35241,2.06091,1.13299,0,0.000403571,0.000403571,0.000403571
74,714.1,0.57954,0.90357,0.58612,0.94571,0,0.49332,0.64014,0.49181,0.39079,0.49332,0.64014,0.49181,0.40915,0.93471,1.42718,2.36177,1.19789,0,0.000398496,0.000398496,0.000398496
75,724.937,0.59719,0.90666,0.60077,0.9493,0,0.66989,0.49451,0.58619,0.48858,0.66989,0.49451,0.58619,0.48572,0.77404,1.3037,2.08347,1.10502,0,0.00039342,0.00039342,0.00039342
76,732.77,0.56824,0.8441,0.54747,0.93018,0,0.63251,0.52325,0.61431,0.50054,0.63251,0.52325,0.61431,0.50062,0.88598,1.36233,1.9901,1.1576,0,0.000388345,0.000388345,0.000388345
77,743.875,0.58112,0.91203,0.55397,0.92795,0,0.52853,0.59426,0.59324,0.50466,0.52853,0.59426,0.59324,0.49331,0.82357,1.48037,1.98174,1.12404,0,0.00038327,0.00038327,0.00038327
78,751.754,0.57177,0.85505,0.56218,0.94263,0,0.45154,0.73724,0.59888,0.49049,0.46388,0.69807,0.60602,0.45447,0.8248,1.48376,1.99545,1.13005,0,0.000378194,0.000378194,0.000378194
79,761.043,0.56201,0.92516,0.57817,0.92735,0,0.47345,0.70534,0.55259,0.44133,0.47345,0.70534,0.55259,0.43985,0.81423,1.5779,2.00295,1.14924,0,0.000373119,0.000373119,0.000373119
80,770.987,0.54455,0.82541,0.53226,0.9264,0,0.4396,0.63727,0.50901,0.3995,0.4396,0.63727,0.50901,0.38921,0.87882,1.47183,2.2001,1.16569,0,0.000368043,0.000368043,0.000368043
81,779.296,0.5661,0.89059,0.57821,0.95754,0,0.44617,0.65496,0.45832,0.38862,0.44617,0.65496,0.45832,0.37105,0.80628,1.3597,2.25827,1.12995,0,0.000362968,0.000362968,0.000362968
82,790.211,0.57346,0.91003,0.571,0.94112,0,0.38502,0.61069,0.45644,0.38869,0.38502,0.61069,0.45644,0.35457,0.81342,1.30254,2.32655,1.14924,0,0.000357893,0.000357893,0.000357893
83,797.923,0.53945,0.87503,0.52166,0.93094,0,0.39466,0.73043,0.52981,0.42977,0.39466,0.73043,0.52981,0.41063,0.90612,1.35665,2.02999,1.18997,0,0.000352817,0.000352817,0.000352817
84,807.342,0.53937,0.8369,0.52434,0.92432,0,0.42921,0.57342,0.47046,0.37056,0.42921,0.57342,0.445,0.36765,0.85215,1.59174,2.20297,1.213,0,0.000347742,0.000347742,0.000347742
85,816.459,0.54666,0.83641,0.53333,0.92698,0,0.50586,0.73727,0.60776,0.49915,0.48144,0.68835,0.57802,0.49064,0.78376,1.63142,1.8379,1.14446,0,0.000342666,0.000342666,0.000342666
86,825.521,0.53746,0.91557,0.57275,0.92535,0,0.46489,0.72023,0.63027,0.52177,0.46366,0.7057,0.62077,0.50574,0.80411,1.43492,1.90048,1.08976,0,0.000337591,0.000337591,0.000337591
87,836.073,0.55536,0.84078,0.53871,0.92968,0,0.50712,0.61738,0.56671,0.4869,0.41906,0.67673,0.56671,0.46794,0.82338,1.65269,2.07922,1.09244,0,0.000332516,0.000332516,0.000332516
88,845.338,0.54399,0.83811,0.53397,0.94349,0,0.37446,0.55714,0.50577,0.42457,0.37446,0.55714,0.50577,0.41361,0.90021,1.59521,2.22099,1.16461,0,0.00032744,0.00032744,0.00032744
89,854.957,0.53238,0.83459,0.52128,0.91932,0,0.46417,0.59014,0.55464,0.46961,0.46417,0.59014,0.54542,0.47193,0.87368,1.43718,2.12632,1.17646,0,0.000322365,0.000322365,0.000322365
90,862.439,0.5115,0.8304,0.50066,0.91326,0,0.47698,0.56769,0.57231,0.46902,0.47698,0.56769,0.57231,0.4775,0.90007,1.47971,2.3582,1.19928,0,0.000317289,0.000317289,0.000317289
91,873.034,0.53008,0.88066,0.51477,0.92609,0,0.44995,0.57116,0.53215,0.4534,0.44995,0.57116,0.53215,0.4383,0.76119,1.473,2.29215,1.12431,0,0.000312214,0.000312214,0.000312214
92,883.557,0.5416,0.85592,0.5284,0.92471,0,0.51272,0.53493,0.54962,0.45979,0.51272,0.53493,0.54962,0.42887,0.73547,1.4886,2.24141,1.08748,0,0.000307139,0.000307139,0.000307139
93,894.432,0.51894,0.84886,0.50709,0.93424,0,0.51783,0.52594,0.50292,0.42436,0.51783,0.52594,0.5045,0.41087,0.74708,1.49573,2.28838,1.11355,0,0.000302063,0.000302063,0.000302063
94,903.654,0.52443,0.80708,0.50896,0.91965,0,0.57171,0.51915,0.54313,0.45272,0.57171,0.51915,0.55112,0.44411,0.80753,1.48058,2.12297,1.18706,0,0.000296988,0.000296988,0.000296988
95,912.395,0.54048,0.88061,0.50581,0.92976,0,0.39181,0.50892,0.52536,0.44006,0.46711,0.52884,0.54917,0.43316,0.9484,1.5761,2.35238,1.26071,0,0.000291912,0.000291912,0.000291912
96,921.757,0.50077,0.78051,0.48201,0.91099,0,0.39478,0.51395,0.5114,0.41441,0.39478,0.51395,0.5114,0.40862,0.9228,1.64849,2.55633,1.21821,0,0.000286837,0.000286837,0.000286837
97,929.861,0.49961,0.78555,0.47997,0.91869,0,0.34544,0.54286,0.48014,0.40091,0.34544,0.54286,0.48014,0.39437,0.92205,1.69604,2.54009,1.23535,0,0.000281762,0.000281762,0.000281762
98,938.64,0.50093,0.77845,0.47405,0.9159,0,0.47221,0.53234,0.53064,0.4613,0.47221,0.53234,0.53064,0.44711,0.82569,1.80027,2.20093,1.18396,0,0.000276686,0.000276686,0.000276686
99,947.211,0.48853,0.76725,0.45641,0.91797,0,0.46254,0.64072,0.59103,0.51914,0.46254,0.64072,0.59103,0.4941,0.80579,2.08533,2.12579,1.16842,0,0.000271611,0.000271611,0.000271611
100,955.882,0.50247,0.77989,0.45018,0.91507,0,0.49527,0.63975,0.57381,0.50213,0.49527,0.63975,0.57081,0.48837,0.78737,1.51933,2.11559,1.12699,0,0.000266535,0.000266535,0.000266535
101,964.412,0.51343,0.81838,0.50689,0.91503,0,0.41372,0.66057,0.58319,0.5119,0.41372,0.66057,0.58319,0.49059,0.7823,1.46705,2.036,1.12287,0,0.00026146,0.00026146,0.00026146
102,974.189,0.49518,0.78235,0.45062,0.90397,0,0.47171,0.68326,0.59132,0.5211,0.47171,0.68326,0.58081,0.49568,0.77239,1.56229,2.03386,1.12867,0,0.000256385,0.000256385,0.000256385
103,983.097,0.49204,0.74972,0.4491,0.90537,0,0.46273,0.64231,0.50416,0.45144,0.46273,0.64231,0.50416,0.44938,0.75874,1.60932,2.10857,1.1093,0,0.000251309,0.000251309,0.000251309
104,992.378,0.45365,0.71283,0.4172,0.89238,0,0.47548,0.62209,0.51586,0.46462,0.47548,0.62209,0.51586,0.45303,0.70594,1.60711,2.19103,1.09799,0,0.000246234,0.000246234,0.000246234
105,1001.61,0.47699,0.7367,0.44045,0.90164,0,0.42253,0.63322,0.51015,0.4509,0.42253,0.63322,0.51015,0.44896,0.70083,1.49589,2.22812,1.06261,0,0.000241158,0.000241158,0.000241158
106,1009.31,0.47626,0.73904,0.45106,0.90929,0,0.47086,0.57241,0.55466,0.49296,0.47086,0.57241,0.55466,0.48582,0.79303,1.62182,2.20949,1.1177,0,0.000236083,0.000236083,0.000236083
107,1020.28,0.47375,0.7415,0.43066,0.90431,0,0.45502,0.66471,0.51482,0.43313,0.50196,0.64266,0.50917,0.4343,0.83465,1.695,2.39861,1.17482,0,0.000231008,0.000231008,0.000231008
108,1029.43,0.47785,0.73305,0.44239,0.90087,0,0.49962,0.64674,0.53175,0.45092,0.49962,0.64674,0.51893,0.44476,0.79988,1.56852,2.22649,1.17077,0,0.000225932,0.000225932,0.000225932
109,1037.27,0.48418,0.71483,0.43005,0.90353,0,0.46385,0.58268,0.49616,0.43342,0.46385,0.58268,0.49021,0.43187,0.78142,1.54126,2.20246,1.16349,0,0.000220857,0.000220857,0.000220857
110,1046.89,0.4842,0.76697,0.42955,0.90535,0,0.45873,0.54419,0.46885,0.4047,0.45873,0.54419,0.45358,0.38931,0.75958,1.50771,2.27916,1.1144,0,0.000215781,0.000215781,0.000215781
111,1055.7,0.46413,0.7387,0.43525,0.90001,0,0.49672,0.62992,0.54857,0.4917,0.49672,0.62992,0.54857,0.46532,0.7187,1.44312,1.99612,1.08512,0,0.000210706,0.000210706,0.000210706
112,1065.06,0.4577,0.72358,0.40754,0.89727,0,0.51088,0.66661,0.55325,0.49198,0.51088,0.66661,0.55325,0.47087,0.69992,1.43562,1.82818,1.08421,0,0.000205631,0.000205631,0.000205631
113,1072.6,0.43407,0.71187,0.41117,0.89536,0,0.55475,0.6862,0.60312,0.53346,0.55475,0.6862,0.60312,0.51205,0.66637,1.37919,1.67845,1.06491,0,0.000200555,0.000200555,0.000200555
114,1081.93,0.44251,0.67284,0.40907,0.88926,0,0.56787,0.60609,0.57745,0.50341,0.56787,0.60609,0.57745,0.47859,0.70214,1.39396,1.84555,1.08006,0,0.00019548,0.00019548,0.00019548
115,1091.79,0.42902,0.69026,0.41228,0.88662,0,0.48354,0.59978,0.60283,0.51786,0.48354,0.59978,0.60283,0.48123,0.72338,1.50306,2.18542,1.09175,0,0.000190404,0.000190404,0.000190404
116,1101.58,0.48003,0.73825,0.44348,0.91048,0,0.4562,0.66281,0.59987,0.52152,0.4562,0.66281,0.59987,0.49167,0.70462,1.5603,2.00235,1.10029,0,0.000185329,0.000185329,0.000185329
117,1110.76,0.4528,0.72306,0.40385,0.88665,0,0.47152,0.53954,0.59354,0.52809,0.47152,0.53954,0.59354,0.5001,0.68352,1.60187,1.99294,1.10011,0,0.000180254,0.000180254,0.000180254
118,1120.43,0.44202,0.70728,0.40191,0.89759,0,0.43975,0.55027,0.54912,0.49735,0.43975,0.55027,0.54912,0.47171,0.68206,1.66411,2.17223,1.07622,0,0.000175178,0.000175178,0.000175178
119,1132.22,0.44001,0.72005,0.42519,0.89784,0,0.44089,0.55158,0.54841,0.46914,0.44089,0.55158,0.54841,0.45842,0.80499,1.63776,2.41245,1.14561,0,0.000170103,0.000170103,0.000170103
120,1141.91,0.44472,0.70676,0.41012,0.8966,0,0.43142,0.55233,0.51325,0.43962,0.43142,0.55233,0.51325,0.43005,0.80017,1.4757,2.33748,1.144,0,0.000165027,0.000165027,0.000165027
121,1152.33,0.42978,0.68491,0.39828,0.88481,0,0.47122,0.58207,0.52777,0.4524,0.47122,0.58207,0.52777,0.43855,0.76612,1.46539,2.29976,1.1259,0,0.000159952,0.000159952,0.000159952
122,1161.82,0.43993,0.67721,0.3891,0.89588,0,0.47677,0.58463,0.52076,0.45999,0.47677,0.58463,0.52076,0.44454,0.73935,1.4924,2.28396,1.09958,0,0.000154877,0.000154877,0.000154877
