epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,405.249,0.51967,0.78925,0.71174,0.89941,0,0.90123,0.83924,0.90548,0.76257,0.90123,0.83924,0.90548,0.78326,0.66292,0.78994,0.70111,0.90992,0,8.42e-05,8.42e-05,8.42e-05
86,409.531,0.50222,0.769,0.7055,0.88947,0,0.89348,0.85096,0.90815,0.76919,0.89348,0.85096,0.90815,0.78725,0.65672,0.78136,0.70029,0.90434,0,7.925e-05,7.925e-05,7.925e-05
87,413.346,0.5206,0.80811,0.70445,0.89766,0,0.9056,0.87122,0.92467,0.78457,0.9056,0.87122,0.92467,0.79139,0.64928,0.77131,0.67842,0.90095,0,7.43e-05,7.43e-05,7.43e-05
88,417.829,0.50289,0.75311,0.6576,0.89025,0,0.90156,0.87914,0.92805,0.79597,0.90156,0.87914,0.92805,0.79784,0.63388,0.76009,0.66338,0.90189,0,6.935e-05,6.935e-05,6.935e-05
89,422.764,0.51346,0.76407,0.70972,0.88863,0,0.86327,0.90833,0.92612,0.80231,0.86327,0.90833,0.92612,0.80024,0.61607,0.75981,0.6639,0.88972,0,6.44e-05,6.44e-05,6.44e-05
90,426.621,0.49973,0.77214,0.68978,0.89345,0,0.87417,0.89767,0.92581,0.79289,0.87417,0.89767,0.92581,0.79307,0.62938,0.79549,0.64007,0.90011,0,5.945e-05,5.945e-05,5.945e-05
91,434.517,0.45514,0.70723,0.73234,0.87909,0,0.88763,0.89435,0.92965,0.81318,0.88763,0.89435,0.92965,0.80009,0.62654,0.80151,0.62835,0.89405,0,5.45e-05,5.45e-05,5.45e-05
92,439.828,0.45172,0.68564,0.7193,0.87437,0,0.88174,0.88034,0.91744,0.79503,0.88174,0.88034,0.91744,0.77817,0.65298,0.85003,0.66655,0.90133,0,4.955e-05,4.955e-05,4.955e-05
93,443.37,0.43544,0.69154,0.6876,0.86534,0,0.88259,0.87825,0.91344,0.79024,0.88259,0.87825,0.91344,0.77843,0.65244,0.85528,0.69338,0.90473,0,4.46e-05,4.46e-05,4.46e-05
94,447.393,0.46215,0.71375,0.70484,0.85884,0,0.8801,0.8798,0.91409,0.78872,0.8801,0.8798,0.91409,0.77213,0.63673,0.8601,0.69213,0.89971,0,3.965e-05,3.965e-05,3.965e-05
95,452.11,0.43001,0.6785,0.68229,0.86382,0,0.87812,0.87934,0.91456,0.78345,0.87812,0.87934,0.91456,0.76744,0.62293,0.85705,0.68318,0.89683,0,3.47e-05,3.47e-05,3.47e-05
96,455.578,0.42335,0.67348,0.67683,0.86278,0,0.87818,0.8786,0.92939,0.80944,0.87818,0.8786,0.92939,0.79296,0.61927,0.85737,0.67037,0.89804,0,2.975e-05,2.975e-05,2.975e-05
97,458.913,0.4264,0.66564,0.69187,0.85511,0,0.88151,0.87793,0.92959,0.80998,0.88151,0.87793,0.92959,0.79136,0.62162,0.85304,0.6576,0.90601,0,2.48e-05,2.48e-05,2.48e-05
98,463.292,0.42128,0.64894,0.69004,0.85378,0,0.88242,0.87915,0.92937,0.81917,0.88242,0.87915,0.92937,0.78483,0.63095,0.85622,0.62294,0.92012,0,1.985e-05,1.985e-05,1.985e-05
99,467.3,0.42621,0.67819,0.68284,0.86174,0,0.88415,0.88157,0.92959,0.81962,0.88415,0.88157,0.92959,0.78702,0.62644,0.8461,0.61355,0.922,0,1.49e-05,1.49e-05,1.49e-05
100,470.824,0.42137,0.67621,0.65025,0.85585,0,0.88425,0.88534,0.9292,0.81658,0.88425,0.88534,0.9292,0.78501,0.61937,0.84222,0.61795,0.91264,0,9.95e-06,9.95e-06,9.95e-06
